"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"fp_pemsi.nlogox"
"experiment_confidence_0 (1)"
"09/23/2025 15:50:44:561 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-people","leader-boost-radius","new-team-chance","minimal-manipulation","weather","initial-teams","minimal-confidence","[step]","length team-list","team-list","team-member-counts"
"3","250","10","0.01","25","1","2","20","3000","3","[15 105 25]","[38 144 68]"
"2","250","10","0.01","25","1","2","20","3000","4","[15 105 25 35]","[1 222 26 1]"
"5","250","10","0.01","25","1","2","20","3000","3","[105 25 35]","[177 2 71]"
"4","250","10","0.01","25","1","2","20","3000","4","[105 25 35 15]","[115 133 1 1]"
"1","250","10","0.01","25","1","2","20","3000","3","[15 105 25]","[125 1 124]"
"6","250","10","0.01","25","1","2","20","3000","5","[15 105 25 65 125]","[98 73 1 13 65]"
"7","250","10","0.01","25","1","2","20","3000","2","[15 105]","[183 67]"
"8","250","10","0.01","25","1","2","20","3000","3","[15 25 35]","[137 112 1]"
"9","250","10","0.01","25","1","2","20","3000","1","[15]","[250]"
"10","250","10","0.01","25","1","2","20","3000","3","[15 105 25]","[208 19 23]"
"12","250","10","0.01","25","1","2","20","3000","5","[15 105 25 35 55]","[1 85 161 1 2]"
"11","250","10","0.01","25","1","2","20","3000","4","[15 105 35 25]","[1 1 65 183]"
"13","250","10","0.01","25","1","2","20","3000","2","[15 105]","[116 134]"
"14","250","10","0.01","25","1","2","20","3000","1","[105]","[250]"
"15","250","10","0.01","25","1","2","20","3000","3","[15 105 25]","[1 182 67]"
"17","250","10","0.01","25","1","2","20","3000","2","[15 105]","[124 126]"
"16","250","10","0.01","25","1","2","20","3000","4","[15 105 25 45]","[19 227 3 1]"
"18","250","10","0.01","25","1","2","20","3000","4","[15 105 35 45]","[2 78 169 1]"
"19","250","10","0.01","25","1","2","20","3000","5","[15 105 25 35 45]","[217 8 8 2 15]"
"21","250","10","0.01","25","1","2","20","3000","2","[15 25]","[20 230]"
"20","250","10","0.01","25","1","2","20","3000","6","[105 25 45 65 15 35]","[196 9 32 11 1 1]"
"23","250","10","0.01","25","1","2","20","3000","2","[15 105]","[194 56]"
"22","250","10","0.01","25","1","2","20","3000","4","[15 105 25 35]","[235 1 1 13]"
"24","250","10","0.01","25","1","2","20","3000","3","[15 35 25]","[161 88 1]"
"25","250","10","0.01","25","1","2","20","3000","7","[15 105 25 45 55 65 35]","[210 1 1 2 33 2 1]"
"29","250","10","0.01","25","1","2","20","3000","1","[15]","[250]"
"27","250","10","0.01","25","1","2","20","3000","4","[15 105 35 45]","[198 4 5 43]"
"26","250","10","0.01","25","1","2","20","3000","4","[15 105 25 45]","[166 1 54 29]"
"28","250","10","0.01","25","1","2","20","3000","4","[105 25 35 15]","[41 207 1 1]"
"30","250","10","0.01","25","1","2","20","3000","3","[15 105 25]","[80 167 3]"
