"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"fp_pemsi.nlogox"
"experiment_confidence_0 (3)"
"09/23/2025 15:54:41:848 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-people","leader-boost-radius","new-team-chance","minimal-manipulation","weather","initial-teams","minimal-confidence","[step]","length team-list","team-list","team-member-counts"
"1","250","10","0.01","75","1","2","20","3000","1","[105]","[250]"
"6","250","10","0.01","75","1","2","20","3000","2","[15 105]","[47 203]"
"5","250","10","0.01","75","1","2","20","3000","2","[15 25]","[51 199]"
"3","250","10","0.01","75","1","2","20","3000","4","[15 25 35 45]","[178 70 1 1]"
"4","250","10","0.01","75","1","2","20","3000","3","[15 105 25]","[60 188 2]"
"2","250","10","0.01","75","1","2","20","3000","3","[15 105 25]","[60 93 97]"
"8","250","10","0.01","75","1","2","20","3000","2","[15 105]","[72 178]"
"10","250","10","0.01","75","1","2","20","3000","5","[15 25 45 35 65]","[129 1 117 1 2]"
"7","250","10","0.01","75","1","2","20","3000","6","[15 105 25 35 45 55]","[232 2 9 5 1 1]"
"9","250","10","0.01","75","1","2","20","3000","6","[15 105 25 35 45 55]","[161 73 12 1 1 2]"
"11","250","10","0.01","75","1","2","20","3000","3","[15 105 25]","[53 196 1]"
"12","250","10","0.01","75","1","2","20","3000","2","[15 105]","[171 79]"
"14","250","10","0.01","75","1","2","20","3000","3","[15 105 25]","[169 25 56]"
"15","250","10","0.01","75","1","2","20","3000","4","[15 25 35 45]","[158 83 8 1]"
"13","250","10","0.01","75","1","2","20","3000","6","[15 105 25 35 45 55]","[143 64 1 1 1 40]"
"16","250","10","0.01","75","1","2","20","3000","5","[105 25 35 45 55]","[169 1 52 1 27]"
"18","250","10","0.01","75","1","2","20","3000","4","[15 105 45 55]","[115 102 28 5]"
"17","250","10","0.01","75","1","2","20","3000","2","[15 105]","[100 150]"
"19","250","10","0.01","75","1","2","20","3000","3","[105 25 15]","[127 122 1]"
"20","250","10","0.01","75","1","2","20","3000","3","[15 105 25]","[113 89 48]"
"21","250","10","0.01","75","1","2","20","3000","4","[15 25 35 45]","[181 1 42 26]"
"23","250","10","0.01","75","1","2","20","3000","2","[15 105]","[67 183]"
"22","250","10","0.01","75","1","2","20","3000","3","[15 105 25]","[97 144 9]"
"24","250","10","0.01","75","1","2","20","3000","3","[15 105 25]","[111 138 1]"
"25","250","10","0.01","75","1","2","20","3000","2","[15 25]","[121 129]"
"26","250","10","0.01","75","1","2","20","3000","3","[15 105 25]","[64 29 157]"
"27","250","10","0.01","75","1","2","20","3000","2","[15 105]","[49 201]"
"28","250","10","0.01","75","1","2","20","3000","3","[15 105 25]","[2 169 79]"
"30","250","10","0.01","75","1","2","20","3000","1","[105]","[250]"
"29","250","10","0.01","75","1","2","20","3000","4","[15 105 25 35]","[31 168 50 1]"
