"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"fp_pemsi.nlogox"
"experiment_confidence_0 (2)"
"09/23/2025 15:52:12:166 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-people","leader-boost-radius","new-team-chance","minimal-manipulation","weather","initial-teams","minimal-confidence","[step]","length team-list","team-list","team-member-counts"
"6","250","10","0.01","50","1","2","20","3000","1","[105]","[250]"
"1","250","10","0.01","50","1","2","20","3000","3","[15 105 25]","[224 22 4]"
"4","250","10","0.01","50","1","2","20","3000","1","[105]","[250]"
"2","250","10","0.01","50","1","2","20","3000","3","[15 105 25]","[136 91 23]"
"5","250","10","0.01","50","1","2","20","3000","5","[15 105 25 35 45]","[46 201 1 1 1]"
"3","250","10","0.01","50","1","2","20","3000","5","[105 55 15 25 35]","[173 43 32 1 1]"
"11","250","10","0.01","50","1","2","20","3000","1","[15]","[250]"
"8","250","10","0.01","50","1","2","20","3000","3","[15 105 25]","[164 29 57]"
"7","250","10","0.01","50","1","2","20","3000","3","[15 105 25]","[65 183 2]"
"9","250","10","0.01","50","1","2","20","3000","6","[15 105 25 35 45 55]","[9 137 80 22 1 1]"
"10","250","10","0.01","50","1","2","20","3000","2","[15 105]","[165 85]"
"12","250","10","0.01","50","1","2","20","3000","4","[15 25 35 45]","[15 54 180 1]"
"14","250","10","0.01","50","1","2","20","3000","2","[15 105]","[107 143]"
"13","250","10","0.01","50","1","2","20","3000","4","[15 105 25 55]","[40 105 15 90]"
"15","250","10","0.01","50","1","2","20","3000","2","[15 35]","[134 116]"
"16","250","10","0.01","50","1","2","20","3000","3","[15 105 35]","[81 145 24]"
"17","250","10","0.01","50","1","2","20","3000","2","[105 25]","[216 34]"
"18","250","10","0.01","50","1","2","20","3000","2","[15 105]","[5 245]"
"19","250","10","0.01","50","1","2","20","3000","1","[15]","[250]"
"22","250","10","0.01","50","1","2","20","3000","2","[15 105]","[209 41]"
"20","250","10","0.01","50","1","2","20","3000","3","[15 105 25]","[106 1 142]"
"23","250","10","0.01","50","1","2","20","3000","1","[105]","[250]"
"21","250","10","0.01","50","1","2","20","3000","3","[15 105 25]","[63 186 1]"
"24","250","10","0.01","50","1","2","20","3000","3","[15 105 25]","[162 78 10]"
"25","250","10","0.01","50","1","2","20","3000","3","[15 105 35]","[169 54 27]"
"26","250","10","0.01","50","1","2","20","3000","4","[15 105 35 45]","[61 41 99 49]"
"27","250","10","0.01","50","1","2","20","3000","3","[15 105 35]","[25 142 83]"
"29","250","10","0.01","50","1","2","20","3000","3","[15 105 35]","[178 14 58]"
"28","250","10","0.01","50","1","2","20","3000","2","[15 105]","[217 33]"
"30","250","10","0.01","50","1","2","20","3000","6","[15 105 35 25 45 55]","[91 155 1 1 1 1]"
