"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"fp_pemsi.nlogox"
"Manipulation Level 80-100"
"09/25/2025 01:20:42:021 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-people","new-team-chance","min-confidence","min-manipulation","weather-variable","max-confidence","initial-teams","leader-boost-r","max-manipulation","[step]","ticks","neutral-count"
"8","250","0.05","0","80","0","100","3","0.5","100","406","406","18"
"11","250","0.05","0","80","0","100","3","0.5","100","284","284","15"
"4","250","0.05","0","80","0","100","3","0.5","100","403","403","9"
"2","250","0.05","0","80","0","100","3","0.5","100","452","452","8"
"13","250","0.05","0","80","0","100","3","0.5","100","241","241","21"
"6","250","0.05","0","80","0","100","3","0.5","100","712","712","11"
"3","250","0.05","0","80","0","100","3","0.5","100","717","717","13"
"10","250","0.05","0","80","0","100","3","0.5","100","791","791","5"
"12","250","0.05","0","80","0","100","3","0.5","100","801","801","7"
"9","250","0.05","0","80","0","100","3","0.5","100","923","923","3"
"7","250","0.05","0","80","0","100","3","0.5","100","983","983","4"
"1","250","0.05","0","80","0","100","3","0.5","100","687","687","3"
"22","250","0.05","0","80","0","100","3","0.5","100","275","275","13"
"5","250","0.05","0","80","0","100","3","0.5","100","1366","1366","2"
"20","250","0.05","0","80","0","100","3","0.5","100","723","723","1"
"17","250","0.05","0","80","0","100","3","0.5","100","975","975","2"
"25","250","0.05","0","80","0","100","3","0.5","100","493","493","4"
"14","250","0.05","0","80","0","100","3","0.5","100","1204","1204","4"
"24","250","0.05","0","80","0","100","3","0.5","100","602","602","10"
"15","250","0.05","0","80","0","100","3","0.5","100","1830","1830","2"
"30","250","0.05","0","80","0","100","3","0.5","100","537","537","13"
"19","250","0.05","0","80","0","100","3","0.5","100","1665","1665","0"
"32","250","0.05","0","80","0","100","3","0.5","100","649","649","3"
"29","250","0.05","0","80","0","100","3","0.5","100","1005","1005","6"
"27","250","0.05","0","80","0","100","3","0.5","100","992","992","3"
"31","250","0.05","0","80","0","100","3","0.5","100","658","658","3"
"23","250","0.05","0","80","0","100","3","0.5","100","2112","2112","3"
"16","250","0.05","0","80","0","100","3","0.5","100","2376","2376","3"
"26","250","0.05","0","80","0","100","3","0.5","100","1514","1514","3"
"28","250","0.05","0","80","0","100","3","0.5","100","1383","1383","7"
"18","250","0.05","0","80","0","100","3","0.5","100","2721","2721","1"
"40","250","0.05","0","80","0","100","3","0.5","100","352","352","14"
"39","250","0.05","0","80","0","100","3","0.5","100","624","624","8"
"34","250","0.05","0","80","0","100","3","0.5","100","1087","1087","8"
"35","250","0.05","0","80","0","100","3","0.5","100","1126","1126","7"
"33","250","0.05","0","80","0","100","3","0.5","100","1551","1551","0"
"36","250","0.05","0","80","0","100","3","0.5","100","1536","1536","0"
"43","250","0.05","0","80","0","100","3","0.5","100","708","708","10"
"41","250","0.05","0","80","0","100","3","0.5","100","876","876","2"
"21","250","0.05","0","80","0","100","3","0.5","100","3536","3536","0"
"48","250","0.05","0","80","0","100","3","0.5","100","624","624","7"
"47","250","0.05","0","80","0","100","3","0.5","100","848","848","6"
"50","250","0.05","0","80","0","100","3","0.5","100","748","748","6"
"38","250","0.05","0","80","0","100","3","0.5","100","1830","1830","1"
"37","250","0.05","0","80","0","100","3","0.5","100","2654","2654","0"
"56","250","0.05","0","80","0","100","3","0.5","100","354","354","10"
"42","250","0.05","0","80","0","100","3","0.5","100","2178","2178","0"
"51","250","0.05","0","80","0","100","3","0.5","100","1647","1647","1"
"52","250","0.05","0","80","0","100","3","0.5","100","1628","1628","1"
"57","250","0.05","0","80","0","100","3","0.5","100","557","557","5"
"45","250","0.05","0","80","0","100","3","0.5","100","2342","2342","1"
"54","250","0.05","0","80","0","100","3","0.5","100","1275","1275","1"
"62","250","0.05","0","80","0","100","3","0.5","100","422","422","10"
"55","250","0.05","0","80","0","100","3","0.5","100","1678","1678","1"
"59","250","0.05","0","80","0","100","3","0.5","100","1053","1053","5"
"46","250","0.05","0","80","0","100","3","0.5","100","2958","2958","0"
"61","250","0.05","0","80","0","100","3","0.5","100","986","986","10"
"58","250","0.05","0","80","0","100","3","0.5","100","1242","1242","3"
"53","250","0.05","0","80","0","100","3","0.5","100","2867","2867","1"
"44","250","0.05","0","80","0","100","3","0.5","100","3971","3971","0"
"65","250","0.05","0","80","0","100","3","0.5","100","1087","1087","3"
"69","250","0.05","0","80","0","100","3","0.5","100","836","836","10"
"68","250","0.05","0","80","0","100","3","0.5","100","1046","1046","1"
"64","250","0.05","0","80","0","100","3","0.5","100","1390","1390","1"
"67","250","0.05","0","80","0","100","3","0.5","100","1042","1042","3"
"63","250","0.05","0","80","0","100","3","0.5","100","1567","1567","2"
"71","250","0.05","0","80","0","100","3","0.5","100","555","555","6"
"66","250","0.05","0","80","0","100","3","0.5","100","1589","1589","5"
"60","250","0.05","0","80","0","100","3","0.5","100","2708","2708","3"
"75","250","0.05","0","80","0","100","3","0.5","100","598","598","10"
"79","250","0.05","0","80","0","100","3","0.5","100","434","434","6"
"72","250","0.05","0","80","0","100","3","0.5","100","1249","1249","4"
"49","250","0.05","0","80","0","100","3","0.5","100","5102","5102","1"
"77","250","0.05","0","80","0","100","3","0.5","100","1058","1058","4"
"80","250","0.05","0","80","0","100","3","0.5","100","748","748","10"
"81","250","0.05","0","80","0","100","3","0.5","100","810","810","3"
"73","250","0.05","0","80","0","100","3","0.5","100","1754","1754","1"
"76","250","0.05","0","80","0","100","3","0.5","100","1525","1525","8"
"78","250","0.05","0","80","0","100","3","0.5","100","1239","1239","2"
"91","250","0.05","0","80","0","100","3","0.5","100","217","217","27"
"83","250","0.05","0","80","0","100","3","0.5","100","1074","1074","1"
"82","250","0.05","0","80","0","100","3","0.5","100","1169","1169","5"
"88","250","0.05","0","80","0","100","3","0.5","100","775","775","9"
"85","250","0.05","0","80","0","100","3","0.5","100","927","927","9"
"87","250","0.05","0","80","0","100","3","0.5","100","849","849","4"
"89","250","0.05","0","80","0","100","3","0.5","100","885","885","1"
"84","250","0.05","0","80","0","100","3","0.5","100","1229","1229","1"
"93","250","0.05","0","80","0","100","3","0.5","100","557","557","4"
"74","250","0.05","0","80","0","100","3","0.5","100","2094","2094","0"
"90","250","0.05","0","80","0","100","3","0.5","100","1014","1014","2"
