"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"fp_pemsi.nlogox"
"template (2)"
"09/25/2025 02:06:02:559 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-people","new-team-chance","min-confidence","min-manipulation","weather-variable","max-confidence","initial-teams","leader-boost-r","max-manipulation","[step]","ticks","neutral-count"
"9","250","0.05","0","0","0.75","100","3","0.5","100","386","386","17"
"2","250","0.05","0","0","0.75","100","3","0.5","100","412","412","12"
"6","250","0.05","0","0","0.75","100","3","0.5","100","433","433","14"
"3","250","0.05","0","0","0.75","100","3","0.5","100","1041","1041","24"
"11","250","0.05","0","0","0.75","100","3","0.5","100","905","905","7"
"14","250","0.05","0","0","0.75","100","3","0.5","100","723","723","6"
"8","250","0.05","0","0","0.75","100","3","0.5","100","1561","1561","3"
"10","250","0.05","0","0","0.75","100","3","0.5","100","836","836","10"
"5","250","0.05","0","0","0.75","100","3","0.5","100","853","853","11"
"7","250","0.05","0","0","0.75","100","3","0.5","100","1286","1286","9"
"15","250","0.05","0","0","0.75","100","3","0.5","100","646","646","18"
"4","250","0.05","0","0","0.75","100","3","0.5","100","992","992","3"
"20","250","0.05","0","0","0.75","100","3","0.5","100","790","790","31"
"23","250","0.05","0","0","0.75","100","3","0.5","100","451","451","24"
"18","250","0.05","0","0","0.75","100","3","0.5","100","773","773","6"
"12","250","0.05","0","0","0.75","100","3","0.5","100","2274","2274","6"
"1","250","0.05","0","0","0.75","100","3","0.5","100","1112","1112","7"
"21","250","0.05","0","0","0.75","100","3","0.5","100","975","975","7"
"22","250","0.05","0","0","0.75","100","3","0.5","100","888","888","8"
"19","250","0.05","0","0","0.75","100","3","0.5","100","1108","1108","12"
"13","250","0.05","0","0","0.75","100","3","0.5","100","1703","1703","6"
"26","250","0.05","0","0","0.75","100","3","0.5","100","707","707","8"
"16","250","0.05","0","0","0.75","100","3","0.5","100","1743","1743","4"
"27","250","0.05","0","0","0.75","100","3","0.5","100","424","424","14"
"28","250","0.05","0","0","0.75","100","3","0.5","100","673","673","9"
"32","250","0.05","0","0","0.75","100","3","0.5","100","487","487","19"
"25","250","0.05","0","0","0.75","100","3","0.5","100","1031","1031","3"
"37","250","0.05","0","0","0.75","100","3","0.5","100","396","396","19"
"17","250","0.05","0","0","0.75","100","3","0.5","100","2122","2122","2"
"36","250","0.05","0","0","0.75","100","3","0.5","100","615","615","8"
"31","250","0.05","0","0","0.75","100","3","0.5","100","868","868","3"
"40","250","0.05","0","0","0.75","100","3","0.5","100","254","254","31"
"24","250","0.05","0","0","0.75","100","3","0.5","100","1392","1392","6"
"39","250","0.05","0","0","0.75","100","3","0.5","100","572","572","14"
"38","250","0.05","0","0","0.75","100","3","0.5","100","635","635","7"
"34","250","0.05","0","0","0.75","100","3","0.5","100","1138","1138","4"
"41","250","0.05","0","0","0.75","100","3","0.5","100","589","589","9"
"46","250","0.05","0","0","0.75","100","3","0.5","100","393","393","16"
