"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"fp_pemsi.nlogox"
"experiment_confidence_0"
"09/23/2025 15:28:13:602 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-people","leader-boost-radius","new-team-chance","minimal-manipulation","weather","initial-teams","minimal-confidence","[step]","length team-list","team-list","team-member-counts"
"5","250","10","0.01","50","1","2","0","3000","2","[15 105]","[12 238]"
"7","250","10","0.01","50","1","2","0","3000","4","[15 35 45 25]","[37 210 1 2]"
"8","250","10","0.01","50","1","2","0","3000","3","[15 105 35]","[3 246 1]"
"4","250","10","0.01","50","1","2","0","3000","3","[15 105 25]","[240 8 2]"
"9","250","10","0.01","50","1","2","0","3000","4","[15 105 25 35]","[1 154 80 14]"
"2","250","10","0.01","50","1","2","0","3000","5","[105 35 45 25 55]","[200 19 28 1 2]"
"6","250","10","0.01","50","1","2","0","3000","5","[15 25 45 55 35]","[233 1 3 3 10]"
"3","250","10","0.01","50","1","2","0","3000","4","[15 35 25 45]","[1 171 76 2]"
"1","250","10","0.01","50","1","2","0","3000","6","[15 25 35 55 45 65]","[198 1 1 45 4 1]"
"15","250","10","0.01","50","1","2","0","3000","1","[15]","[250]"
"10","250","10","0.01","50","1","2","0","3000","3","[15 105 35]","[189 33 28]"
"11","250","10","0.01","50","1","2","0","3000","5","[15 105 25 35 45]","[67 176 3 3 1]"
"12","250","10","0.01","50","1","2","0","3000","2","[15 105]","[57 193]"
"13","250","10","0.01","50","1","2","0","3000","6","[15 25 35 45 75 55]","[208 36 2 1 1 2]"
"18","250","10","0.01","50","1","2","0","3000","1","[15]","[250]"
"14","250","10","0.01","50","1","2","0","3000","6","[15 105 25 35 45 55]","[62 1 1 1 184 1]"
"17","250","10","0.01","50","1","2","0","3000","5","[15 105 25 35 45]","[1 241 1 2 5]"
"16","250","10","0.01","50","1","2","0","3000","6","[15 105 25 65 45 85]","[54 184 1 8 2 1]"
"19","250","10","0.01","50","1","2","0","3000","3","[15 105 35]","[6 241 3]"
"21","250","10","0.01","50","1","2","0","3000","5","[15 105 25 35 45]","[160 73 1 13 3]"
"20","250","10","0.01","50","1","2","0","3000","4","[15 105 65 55]","[208 1 1 40]"
"22","250","10","0.01","50","1","2","0","3000","6","[105 25 45 55 35 65]","[146 49 49 1 4 1]"
"23","250","10","0.01","50","1","2","0","3000","5","[15 105 35 45 25]","[12 224 12 1 1]"
"24","250","10","0.01","50","1","2","0","3000","5","[15 105 25 45 35]","[94 96 1 20 39]"
"26","250","10","0.01","50","1","2","0","3000","6","[15 105 45 35 25 65]","[25 211 1 10 1 2]"
"27","250","10","0.01","50","1","2","0","3000","4","[15 105 35 25]","[58 168 16 8]"
"25","250","10","0.01","50","1","2","0","3000","6","[15 105 25 45 55 35]","[192 21 3 3 30 1]"
"28","250","10","0.01","50","1","2","0","3000","3","[15 105 25]","[83 151 15]"
"29","250","10","0.01","50","1","2","0","3000","2","[15 105]","[243 7]"
"30","250","10","0.01","50","1","2","0","3000","4","[15 105 25 45]","[244 4 1 1]"
