"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"fp_pemsi.nlogox"
"experiment_confidence_25"
"09/23/2025 15:29:17:429 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-people","leader-boost-radius","new-team-chance","minimal-manipulation","weather","initial-teams","minimal-confidence","[step]","length team-list","team-list","team-member-counts"
"5","250","10","0.01","50","1","2","25","3000","4","[15 105 25 35]","[11 206 1 32]"
"8","250","10","0.01","50","1","2","25","3000","4","[15 105 25 45]","[1 139 82 28]"
"2","250","10","0.01","50","1","2","25","3000","4","[15 25 45 65]","[52 196 1 1]"
"4","250","10","0.01","50","1","2","25","3000","3","[15 105 25]","[45 204 1]"
"9","250","10","0.01","50","1","2","25","3000","4","[15 105 25 35]","[101 65 61 23]"
"7","250","10","0.01","50","1","2","25","3000","3","[15 105 25]","[182 40 28]"
"3","250","10","0.01","50","1","2","25","3000","4","[15 105 35 25]","[1 59 188 2]"
"6","250","10","0.01","50","1","2","25","3000","4","[15 135 25 35]","[166 82 1 1]"
"1","250","10","0.01","50","1","2","25","3000","2","[105 25]","[247 3]"
"10","250","10","0.01","50","1","2","25","3000","1","[105]","[250]"
"11","250","10","0.01","50","1","2","25","3000","2","[15 105]","[27 223]"
"12","250","10","0.01","50","1","2","25","3000","2","[15 105]","[204 46]"
"13","250","10","0.01","50","1","2","25","3000","3","[15 105 35]","[137 111 2]"
"14","250","10","0.01","50","1","2","25","3000","5","[15 105 25 35 45]","[1 216 1 1 31]"
"15","250","10","0.01","50","1","2","25","3000","4","[15 105 35 25]","[152 81 1 16]"
"16","250","10","0.01","50","1","2","25","3000","2","[15 105]","[10 240]"
"17","250","10","0.01","50","1","2","25","3000","4","[105 25 35 15]","[213 2 34 1]"
"18","250","10","0.01","50","1","2","25","3000","4","[15 105 25 35]","[82 133 1 34]"
"20","250","10","0.01","50","1","2","25","3000","3","[15 105 25]","[106 143 1]"
"19","250","10","0.01","50","1","2","25","3000","3","[15 105 35]","[229 20 1]"
"21","250","10","0.01","50","1","2","25","3000","1","[105]","[250]"
"23","250","10","0.01","50","1","2","25","3000","3","[15 105 25]","[62 187 1]"
"24","250","10","0.01","50","1","2","25","3000","5","[15 105 25 35 45]","[174 12 1 62 1]"
"25","250","10","0.01","50","1","2","25","3000","3","[15 105 25]","[147 44 59]"
"22","250","10","0.01","50","1","2","25","3000","8","[105 15 45 65 75 85 25 35]","[167 1 1 44 33 1 1 2]"
"26","250","10","0.01","50","1","2","25","3000","2","[15 105]","[134 116]"
"27","250","10","0.01","50","1","2","25","3000","5","[15 105 35 25 45]","[1 196 41 1 11]"
"28","250","10","0.01","50","1","2","25","3000","2","[15 105]","[92 158]"
"29","250","10","0.01","50","1","2","25","3000","6","[15 105 35 55 25 45]","[201 18 3 26 1 1]"
"30","250","10","0.01","50","1","2","25","3000","2","[105 25]","[239 11]"
