"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"fp_pemsi.nlogox"
"experiment_confidence_75"
"09/23/2025 15:31:07:753 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-people","leader-boost-radius","new-team-chance","minimal-manipulation","weather","initial-teams","minimal-confidence","[step]","length team-list","team-list","team-member-counts"
"3","250","10","0.01","50","1","2","75","3000","7","[15 105 25 35 45 55 65]","[80 165 1 1 1 1 1]"
"2","250","10","0.01","50","1","2","75","3000","4","[15 105 25 35]","[141 107 1 1]"
"9","250","10","0.01","50","1","2","75","3000","5","[15 105 35 45 25]","[94 137 16 1 2]"
"1","250","10","0.01","50","1","2","75","3000","4","[15 35 25 45]","[182 1 1 66]"
"5","250","10","0.01","50","1","2","75","3000","13","[15 105 25 35 45 55 65 75 85 95 115 125 135]","[110 1 2 2 126 2 1 1 1 1 1 1 1]"
"7","250","10","0.01","50","1","2","75","3000","3","[15 105 25]","[229 20 1]"
"6","250","10","0.01","50","1","2","75","3000","3","[105 15 35]","[233 16 1]"
"4","250","10","0.01","50","1","2","75","3000","12","[15 105 25 35 55 45 75 85 95 115 125 135]","[1 228 1 1 1 1 12 1 1 1 1 1]"
"8","250","10","0.01","50","1","2","75","3000","17","[15 25 75 95 45 135 20 85 40 50 5 60 105 35 65 115 55]","[194 1 1 34 1 1 5 1 1 2 1 1 1 3 1 1 1]"
"11","250","10","0.01","50","1","2","75","3000","2","[15 105]","[196 54]"
"12","250","10","0.01","50","1","2","75","3000","4","[15 105 25 35]","[4 190 55 1]"
"14","250","10","0.01","50","1","2","75","3000","1","[15]","[250]"
"13","250","10","0.01","50","1","2","75","3000","3","[15 105 45]","[248 1 1]"
"10","250","10","0.01","50","1","2","75","3000","10","[105 35 45 65 15 85 95 115 125 20]","[111 1 87 1 16 1 1 9 1 22]"
"15","250","10","0.01","50","1","2","75","3000","2","[15 105]","[170 80]"
"16","250","10","0.01","50","1","2","75","3000","3","[15 105 25]","[171 1 78]"
"18","250","10","0.01","50","1","2","75","3000","5","[15 105 25 45 35]","[150 97 1 1 1]"
"17","250","10","0.01","50","1","2","75","3000","8","[15 25 45 55 85 95 65 75]","[222 1 1 1 1 22 1 1]"
"20","250","10","0.01","50","1","2","75","3000","4","[105 25 35 15]","[74 142 33 1]"
"19","250","10","0.01","50","1","2","75","3000","2","[15 105]","[1 249]"
"21","250","10","0.01","50","1","2","75","3000","8","[15 25 35 45 55 65 75 85]","[198 5 42 1 1 1 1 1]"
"22","250","10","0.01","50","1","2","75","3000","6","[105 25 35 45 55 85]","[164 82 1 1 1 1]"
"23","250","10","0.01","50","1","2","75","3000","7","[15 105 35 45 55 65 25]","[168 74 1 1 4 1 1]"
"24","250","10","0.01","50","1","2","75","3000","2","[15 105]","[85 165]"
"25","250","10","0.01","50","1","2","75","3000","3","[15 105 25]","[158 91 1]"
"26","250","10","0.01","50","1","2","75","3000","3","[15 105 25]","[169 80 1]"
"27","250","10","0.01","50","1","2","75","3000","4","[15 105 25 35]","[74 128 46 2]"
"29","250","10","0.01","50","1","2","75","3000","4","[15 105 25 35]","[97 151 1 1]"
"28","250","10","0.01","50","1","2","75","3000","3","[15 105 45]","[110 139 1]"
"30","250","10","0.01","50","1","2","75","3000","5","[15 25 75 95 45]","[183 2 1 1 63]"
