"BehaviorSpace results (NetLogo 7.0.0)","Table version 2.0"
"fp_pemsi.nlogox"
"experiment_confidence_50"
"09/23/2025 15:30:20:195 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-people","leader-boost-radius","new-team-chance","minimal-manipulation","weather","initial-teams","minimal-confidence","[step]","length team-list","team-list","team-member-counts"
"5","250","10","0.01","50","1","2","50","3000","1","[15]","[250]"
"2","250","10","0.01","50","1","2","50","3000","4","[15 105 35 25]","[89 128 32 1]"
"8","250","10","0.01","50","1","2","50","3000","9","[15 105 25 35 65 85 55 95 115]","[88 1 136 1 2 1 19 1 1]"
"3","250","10","0.01","50","1","2","50","3000","2","[15 105]","[208 42]"
"4","250","10","0.01","50","1","2","50","3000","4","[15 105 25 35]","[75 173 1 1]"
"6","250","10","0.01","50","1","2","50","3000","3","[15 105 25]","[121 1 128]"
"7","250","10","0.01","50","1","2","50","3000","4","[15 105 45 25]","[235 13 1 1]"
"9","250","10","0.01","50","1","2","50","3000","5","[15 105 25 35 45]","[187 59 2 1 1]"
"1","250","10","0.01","50","1","2","50","3000","3","[15 105 35]","[88 67 95]"
"10","250","10","0.01","50","1","2","50","3000","4","[15 105 25 35]","[133 115 1 1]"
"12","250","10","0.01","50","1","2","50","3000","4","[15 105 85 25]","[80 1 168 1]"
"11","250","10","0.01","50","1","2","50","3000","4","[15 25 65 75]","[180 68 1 1]"
"14","250","10","0.01","50","1","2","50","3000","3","[15 105 25]","[126 123 1]"
"17","250","10","0.01","50","1","2","50","3000","2","[15 105]","[133 117]"
"13","250","10","0.01","50","1","2","50","3000","4","[15 25 45 55]","[208 1 40 1]"
"15","250","10","0.01","50","1","2","50","3000","10","[105 35 45 25 55 65 75 85 95 125]","[218 1 22 1 2 1 2 1 1 1]"
"18","250","10","0.01","50","1","2","50","3000","3","[15 25 45]","[108 69 73]"
"16","250","10","0.01","50","1","2","50","3000","4","[105 75 15 35]","[138 57 1 54]"
"19","250","10","0.01","50","1","2","50","3000","3","[15 105 25]","[66 183 1]"
"20","250","10","0.01","50","1","2","50","3000","1","[105]","[250]"
"21","250","10","0.01","50","1","2","50","3000","2","[15 25]","[1 249]"
"22","250","10","0.01","50","1","2","50","3000","3","[15 25 35]","[77 153 20]"
"23","250","10","0.01","50","1","2","50","3000","8","[15 105 25 35 45 55 65 75]","[207 1 1 23 1 15 1 1]"
"27","250","10","0.01","50","1","2","50","3000","4","[15 105 45 55]","[1 221 1 27]"
"24","250","10","0.01","50","1","2","50","3000","5","[15 105 25 55 85]","[102 1 79 67 1]"
"25","250","10","0.01","50","1","2","50","3000","3","[25 45 35]","[105 144 1]"
"26","250","10","0.01","50","1","2","50","3000","3","[15 105 25]","[1 248 1]"
"28","250","10","0.01","50","1","2","50","3000","4","[15 25 45 55]","[49 199 1 1]"
"30","250","10","0.01","50","1","2","50","3000","1","[15]","[250]"
"29","250","10","0.01","50","1","2","50","3000","5","[15 25 35 45 65]","[192 34 1 1 22]"
